laureate,laureateName,prize,prizeLabel,awardYear,birthCountry,birthCountryLabel,inst,instLabel,instCountry,instCountryLabel,startYear,endYear
http://www.wikidata.org/entity/Q76951,George de Hevesy,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1943,http://www.wikidata.org/entity/Q28,Hungary,http://www.wikidata.org/entity/Q153987,University of Freiburg,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q47695,Rudolf Christoph Eucken,http://www.wikidata.org/entity/Q37922,Nobel Prize in Literature,1908,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q154561,Friedrich Schiller University Jena,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q9130,Erwin Schrödinger,http://www.wikidata.org/entity/Q38104,Nobel Prize in Physics,1933,http://www.wikidata.org/entity/Q40,Austria,http://www.wikidata.org/entity/Q154561,Friedrich Schiller University Jena,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q12658,Wilhelm Ostwald,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1909,http://www.wikidata.org/entity/Q211,Latvia,http://www.wikidata.org/entity/Q154804,Leipzig University,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q232024,John James Rickard Macleod,http://www.wikidata.org/entity/Q80061,Nobel Prize in Physiology or Medicine,1923,http://www.wikidata.org/entity/Q145,United Kingdom,http://www.wikidata.org/entity/Q154804,Leipzig University,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q159723,Nathan Söderblom,http://www.wikidata.org/entity/Q35637,Nobel Peace Prize,1930,http://www.wikidata.org/entity/Q34,Sweden,http://www.wikidata.org/entity/Q154804,Leipzig University,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q184563,Shin'ichirō Tomonaga,http://www.wikidata.org/entity/Q38104,Nobel Prize in Physics,1965,http://www.wikidata.org/entity/Q17,Japan,http://www.wikidata.org/entity/Q154804,Leipzig University,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q5327,Adolf Butenandt,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1939,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q155354,University of Marburg,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q76624,Karl Ziegler,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1963,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q155354,University of Marburg,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q77173,Otto Loewi,http://www.wikidata.org/entity/Q80061,Nobel Prize in Physiology or Medicine,1936,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q155354,University of Marburg,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q77171,Georg Wittig,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1979,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q155354,University of Marburg,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q57077,Ferdinand Braun,http://www.wikidata.org/entity/Q38104,Nobel Prize in Physics,1909,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q155354,University of Marburg,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q76425,Emil von Behring,http://www.wikidata.org/entity/Q80061,Nobel Prize in Physiology or Medicine,1901,http://www.wikidata.org/entity/Q36,Poland,http://www.wikidata.org/entity/Q155354,University of Marburg,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q76606,Carl Bosch,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1931,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q156152,IG Farben,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q109370,Klaus Hasselmann,http://www.wikidata.org/entity/Q38104,Nobel Prize in Physics,2021,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q156725,University of Hamburg,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q57072,Otto Stern,http://www.wikidata.org/entity/Q38104,Nobel Prize in Physics,1943,http://www.wikidata.org/entity/Q36,Poland,http://www.wikidata.org/entity/Q156725,University of Hamburg,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q155773,Masatoshi Koshiba,http://www.wikidata.org/entity/Q38104,Nobel Prize in Physics,2002,http://www.wikidata.org/entity/Q17,Japan,http://www.wikidata.org/entity/Q156725,University of Hamburg,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q44061,Wassily Leontief,http://www.wikidata.org/entity/Q47170,Prize in Economic Sciences in Memory of Alfred Nobel,1973,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q156737,Kiel University,http://www.wikidata.org/entity/Q183,Germany,-1,-1
http://www.wikidata.org/entity/Q76616,Otto Diels,http://www.wikidata.org/entity/Q44585,Nobel Prize in Chemistry,1950,http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q156737,Kiel University,http://www.wikidata.org/entity/Q183,Germany,-1,-1
